username,repo_name,stars,repo_url
,bregman-arie,64800,https://github.com/bregman-arie
ansible,ansible,61800,https://github.com/ansible/ansible
,trailofbits,28500,https://github.com/trailofbits
,MichaelCade,26100,https://github.com/MichaelCade
StreisandEffect,streisand,23200,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,15600,https://github.com/kubernetes-sigs/kubespray
ansible,awx,13700,https://github.com/ansible/awx
easzlab,kubeasz,10200,https://github.com/easzlab/kubeasz
,semaphoreui,9700,https://github.com/semaphoreui
,netbootxyz,8400,https://github.com/netbootxyz
geerlingguy,ansible-for-devops,8200,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7900,https://github.com/khuedoan/homelab
,Tikam02,7800,https://github.com/Tikam02
geerlingguy,mac-dev-playbook,5900,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5400,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,5000,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4600,https://github.com/clong/DetectionLab
,ChristianLempa,3900,https://github.com/ChristianLempa
,ansible,3800,https://github.com/ansible
dev-sec,ansible-collection-hardening,3800,https://github.com/dev-sec/ansible-collection-hardening
