username,repo_name,stars,repo_url
electron,electron,113000,https://github.com/electron/electron
puppeteer,puppeteer,87600,https://github.com/puppeteer/puppeteer
,microsoft,63900,https://github.com/microsoft
iamadamdev,bypass-paywalls-chrome,47900,https://github.com/iamadamdev/bypass-paywalls-chrome
,FiloSottile,47000,https://github.com/FiloSottile
,jaywcjlove,29700,https://github.com/jaywcjlove
,ovity,22700,https://github.com/ovity
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
,checkly,15000,https://github.com/checkly
GoogleChrome,chrome-extensions-samples,14700,https://github.com/GoogleChrome/chrome-extensions-samples
,gildas-lormeau,14300,https://github.com/gildas-lormeau
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
schickling,chromeless,13200,https://github.com/schickling/chromeless
casesandberg,react-color,11900,https://github.com/casesandberg/react-color
,crimx,11800,https://github.com/crimx
MetaMask,metamask-extension,11700,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10600,https://github.com/chromedp/chromedp
,moonD4rk,10300,https://github.com/moonD4rk
ajayyy,SponsorBlock,9300,https://github.com/ajayyy/SponsorBlock
ultrafunkamsterdam,undetected-chromedriver,9100,https://github.com/ultrafunkamsterdam/undetected-chromedriver
