username,repo_name,stars,repo_url
,ccxt,31900,https://github.com/ccxt
python-telegram-bot,python-telegram-bot,25400,https://github.com/python-telegram-bot/python-telegram-bot
,discordjs,25100,https://github.com/discordjs
,wechaty,19600,https://github.com/wechaty
,RasaHQ,18300,https://github.com/RasaHQ
hubotio,hubot,16600,https://github.com/hubotio/hubot
InstaPy,InstaPy,16500,https://github.com/InstaPy/InstaPy
,leon-ai,14900,https://github.com/leon-ai
,pedroslopez,14600,https://github.com/pedroslopez
Rapptz,discord.py,14500,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,14000,https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,14000,https://github.com/gunthercox/ChatterBot
,lss233,12500,https://github.com/lss233
howdyai,botkit,11400,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10300,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9900,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8100,https://github.com/yagop/node-telegram-bot-api
,telegraf,8000,https://github.com/telegraf
microsoft,ailab,7700,https://github.com/microsoft/ailab
microsoft,botframework-sdk,7400,https://github.com/microsoft/botframework-sdk
